"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1400000US17031040600","Census Tract 406; Cook County; Illinois","1276","188","592","163","684","145",
"1400000US17031040700","Census Tract 407; Cook County; Illinois","1683","169","675","119","1008","184",
"1400000US17031040800","Census Tract 408; Cook County; Illinois","824","127","344","71","480","135",
"1400000US17031040900","Census Tract 409; Cook County; Illinois","1145","168","425","73","720","172",
"1400000US17031050100","Census Tract 501; Cook County; Illinois","1117","162","499","123","618","126",
"1400000US17031050200","Census Tract 502; Cook County; Illinois","2183","245","1352","272","831","194",
"1400000US17031050300","Census Tract 503; Cook County; Illinois","1204","127","709","134","495","128",
"1400000US17031050500","Census Tract 505; Cook County; Illinois","2044","271","1164","194","880","222",
"1400000US17031050600","Census Tract 506; Cook County; Illinois","1198","156","606","94","592","173",
"1400000US17031050700","Census Tract 507; Cook County; Illinois","713","150","353","52","360","158",
"1400000US17031050800","Census Tract 508; Cook County; Illinois","481","72","275","62","206","42",
"1400000US17031050900","Census Tract 509; Cook County; Illinois","672","97","235","55","437","104",
"1400000US17031051000","Census Tract 510; Cook County; Illinois","688","74","472","71","216","55",
"1400000US17031051100","Census Tract 511; Cook County; Illinois","718","171","392","71","326","169",
"1400000US17031051200","Census Tract 512; Cook County; Illinois","628","107","288","76","340","70",
"1400000US17031051300","Census Tract 513; Cook County; Illinois","1077","135","831","144","246","87",
"1400000US17031051400","Census Tract 514; Cook County; Illinois","1057","121","629","119","428","111",
"1400000US17031060100","Census Tract 601; Cook County; Illinois","1245","167","789","136","456","140",
"1400000US17031060200","Census Tract 602; Cook County; Illinois","1187","139","443","141","744","103",
