"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"1400000US17031030104","Census Tract 301.04; Cook County; Illinois","1244","119","9","14","38","39","8","13","50","38","0","13","286","130","268","81","85","53","118","94","382","110",
"1400000US17031030200","Census Tract 302; Cook County; Illinois","2855","295","0","18","52","53","74","81","88","91","13","22","248","131","32","37","132","93","210","148","2006","340",
"1400000US17031030300","Census Tract 303; Cook County; Illinois","1540","189","9","15","8","14","58","57","93","89","63","53","101","48","226","110","189","88","135","63","658","231",
"1400000US17031030400","Census Tract 304; Cook County; Illinois","1451","101","36","39","69","42","128","81","10","10","90","56","238","107","9","15","127","83","124","93","620","139",
"1400000US17031030500","Census Tract 305; Cook County; Illinois","3352","250","15","22","0","18","75","47","94","112","139","126","148","111","118","145","125","78","409","192","2229","350",
"1400000US17031030601","Census Tract 306.01; Cook County; Illinois","2143","237","0","13","73","58","83","66","98","76","125","65","171","67","599","160","204","102","216","171","574","165",
"1400000US17031030603","Census Tract 306.03; Cook County; Illinois","1498","144","0","13","13","20","10","16","85","77","39","42","243","90","66","40","77","48","74","51","891","139",
"1400000US17031030604","Census Tract 306.04; Cook County; Illinois","2502","156","0","13","0","13","117","99","95","91","103","71","307","159","1087","210","233","123","194","139","366","153",
"1400000US17031030701","Census Tract 307.01; Cook County; Illinois","975","59","0","13","0","13","111","51","29","27","34","27","118","62","59","34","39","27","83","60","502","87",
"1400000US17031030702","Census Tract 307.02; Cook County; Illinois","1665","167","0","13","0","13","0","13","50","54","55","38","1098","134","326","169","26","26","0","13","110","87",
"1400000US17031030703","Census Tract 307.03; Cook County; Illinois","2029","229","0","13","69","60","168","104","106","59","260","107","288","125","345","217","126","126","139","78","528","124",
"1400000US17031030706","Census Tract 307.06; Cook County; Illinois","2166","172","0","13","123","113","183","94","0","13","310","158","123","80","137","155","80","65","158","105","1052","201",
"1400000US17031030800","Census Tract 308; Cook County; Illinois","2408","235","0","13","52","48","0","13","39","45","52","49","99","98","171","122","118","84","80","66","1797","240",
"1400000US17031030900","Census Tract 309; Cook County; Illinois","1738","185","0","13","73","77","34","30","8","13","45","38","68","52","115","81","96","47","52","53","1247","209",
"1400000US17031031000","Census Tract 310; Cook County; Illinois","2332","229","23","26","92","86","207","118","23","27","79","66","137","82","15","25","129","102","58","66","1569","270",
"1400000US17031031100","Census Tract 311; Cook County; Illinois","3159","310","69","63","85","58","87","66","44","49","75","59","145","151","125","72","262","149","355","193","1912","332",
"1400000US17031031200","Census Tract 312; Cook County; Illinois","3689","358","89","91","341","240","273","153","99","101","216","186","283","158","457","224","348","260","318","176","1265","381",
"1400000US17031031300","Census Tract 313; Cook County; Illinois","4824","425","15","26","95","75","292","200","151","174","623","367","528","200","539","335","544","212","386","204","1651","374",
"1400000US17031031400","Census Tract 314; Cook County; Illinois","3614","359","0","13","77","110","0","13","177","101","199","124","910","320","934","271","371","152","108","108","838","238",
"1400000US17031031501","Census Tract 315.01; Cook County; Illinois","2234","174","0","13","23","37","98","57","0","13","167","173","441","178","350","156","182","83","129","88","844","199",
"1400000US17031031502","Census Tract 315.02; Cook County; Illinois","2902","262","54","64","586","194","62","65","262","150","36","53","194","95","165","92","157","81","67","55","1319","297",
"1400000US17031031700","Census Tract 317; Cook County; Illinois","3831","278","46","53","53","67","189","114","124","84","147","114","245","206","137","79","328","212","222","133","2340","342",
"1400000US17031031800","Census Tract 318; Cook County; Illinois","1033","109","30","28","39","37","45","34","38","42","89","40","112","72","85","80","34","46","52","39","509","91",
"1400000US17031031900","Census Tract 319; Cook County; Illinois","1442","190","32","25","19","22","64","45","60","40","167","154","187","97","41","42","106","101","38","30","728","99",
"1400000US17031032100","Census Tract 321; Cook County; Illinois","4537","479","0","18","87","72","330","221","220","164","163","102","754","438","289","232","194","134","299","189","2201","436",
"1400000US17031040100","Census Tract 401; Cook County; Illinois","2028","198","13","19","78","60","230","83","112","111","143","96","158","104","77","40","160","88","170","96","887","177",
"1400000US17031040201","Census Tract 402.01; Cook County; Illinois","3283","346","36","58","197","110","336","178","149","172","150","110","25","30","188","127","243","174","231","132","1728","294",
"1400000US17031040202","Census Tract 402.02; Cook County; Illinois","3108","204","0","18","105","73","271","148","91","76","202","118","347","152","337","153","955","198","388","189","412","165",
"1400000US17031040300","Census Tract 403; Cook County; Illinois","1136","126","0","13","10","16","11","18","0","13","41","50","133","60","107","54","363","118","251","96","220","88",
"1400000US17031040401","Census Tract 404.01; Cook County; Illinois","1655","197","20","27","53","40","65","53","0","13","16","21","65","47","89","65","45","33","93","51","1209","213",
"1400000US17031040402","Census Tract 404.02; Cook County; Illinois","2849","224","19","31","183","133","147","90","127","92","71","65","270","146","237","157","281","210","365","212","1149","233",
