"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"1400000US17031051300","Census Tract 513; Cook County; Illinois","147386","76374",
"1400000US17031051400","Census Tract 514; Cook County; Illinois","167194","20879",
"1400000US17031060100","Census Tract 601; Cook County; Illinois","157917","41617",
"1400000US17031060200","Census Tract 602; Cook County; Illinois","85417","30361",
"1400000US17031060300","Census Tract 603; Cook County; Illinois","173125","33305",
"1400000US17031060400","Census Tract 604; Cook County; Illinois","153625","5925",
"1400000US17031060500","Census Tract 605; Cook County; Illinois","52143","40197",
"1400000US17031060800","Census Tract 608; Cook County; Illinois","90174","12341",
"1400000US17031060900","Census Tract 609; Cook County; Illinois","79016","8512",
"1400000US17031061000","Census Tract 610; Cook County; Illinois","121332","15749",
"1400000US17031061100","Census Tract 611; Cook County; Illinois","117330","50774",
"1400000US17031061200","Census Tract 612; Cook County; Illinois","122857","10641",
"1400000US17031061500","Census Tract 615; Cook County; Illinois","128958","12630",
"1400000US17031061800","Census Tract 618; Cook County; Illinois","85139","16151",
"1400000US17031061901","Census Tract 619.01; Cook County; Illinois","73769","14115",
"1400000US17031061902","Census Tract 619.02; Cook County; Illinois","95705","18011",
"1400000US17031062000","Census Tract 620; Cook County; Illinois","121375","37230",
"1400000US17031062100","Census Tract 621; Cook County; Illinois","103462","50662",
"1400000US17031062200","Census Tract 622; Cook County; Illinois","197159","42662",
"1400000US17031062300","Census Tract 623; Cook County; Illinois","250,000+","***",
"1400000US17031062400","Census Tract 624; Cook County; Illinois","152361","48272",
"1400000US17031062500","Census Tract 625; Cook County; Illinois","203333","60663",
"1400000US17031062600","Census Tract 626; Cook County; Illinois","210536","57117",
"1400000US17031062700","Census Tract 627; Cook County; Illinois","146979","36382",
"1400000US17031062800","Census Tract 628; Cook County; Illinois","190139","31539",
"1400000US17031062900","Census Tract 629; Cook County; Illinois","169906","27185",
"1400000US17031063000","Census Tract 630; Cook County; Illinois","102040","24113",
"1400000US17031063100","Census Tract 631; Cook County; Illinois","94948","10317",
"1400000US17031063200","Census Tract 632; Cook County; Illinois","79782","13135",
