"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"1400000US17031060300","Census Tract 603; Cook County; Illinois","1860","71",
"1400000US17031060400","Census Tract 604; Cook County; Illinois","1991","205",
"1400000US17031060500","Census Tract 605; Cook County; Illinois","-","**",
"1400000US17031060800","Census Tract 608; Cook County; Illinois","1979","157",
"1400000US17031060900","Census Tract 609; Cook County; Illinois","1543","127",
"1400000US17031061000","Census Tract 610; Cook County; Illinois","2211","276",
"1400000US17031061100","Census Tract 611; Cook County; Illinois","1950","166",
"1400000US17031061200","Census Tract 612; Cook County; Illinois","2071","182",
"1400000US17031061500","Census Tract 615; Cook County; Illinois","1909","138",
"1400000US17031061800","Census Tract 618; Cook County; Illinois","1642","101",
"1400000US17031061901","Census Tract 619.01; Cook County; Illinois","1583","154",
"1400000US17031061902","Census Tract 619.02; Cook County; Illinois","1970","161",
"1400000US17031062000","Census Tract 620; Cook County; Illinois","1822","169",
"1400000US17031062100","Census Tract 621; Cook County; Illinois","2058","208",
"1400000US17031062200","Census Tract 622; Cook County; Illinois","2392","165",
"1400000US17031062300","Census Tract 623; Cook County; Illinois","2342","220",
"1400000US17031062400","Census Tract 624; Cook County; Illinois","2012","356",
"1400000US17031062500","Census Tract 625; Cook County; Illinois","1946","323",
"1400000US17031062600","Census Tract 626; Cook County; Illinois","2067","213",
"1400000US17031062700","Census Tract 627; Cook County; Illinois","2174","214",
"1400000US17031062800","Census Tract 628; Cook County; Illinois","2198","241",
"1400000US17031062900","Census Tract 629; Cook County; Illinois","2217","284",
"1400000US17031063000","Census Tract 630; Cook County; Illinois","1935","191",
"1400000US17031063100","Census Tract 631; Cook County; Illinois","1618","164",
"1400000US17031063200","Census Tract 632; Cook County; Illinois","1777","137",
"1400000US17031063301","Census Tract 633.01; Cook County; Illinois","1630","101",
"1400000US17031063302","Census Tract 633.02; Cook County; Illinois","1766","76",
"1400000US17031063303","Census Tract 633.03; Cook County; Illinois","2401","645",
"1400000US17031063400","Census Tract 634; Cook County; Illinois","1644","307",
"1400000US17031070101","Census Tract 701.01; Cook County; Illinois","1622","192",
"1400000US17031070102","Census Tract 701.02; Cook County; Illinois","1497","377",
"1400000US17031070103","Census Tract 701.03; Cook County; Illinois","1663","128",
"1400000US17031070200","Census Tract 702; Cook County; Illinois","1927","180",
"1400000US17031070300","Census Tract 703; Cook County; Illinois","2696","419",
"1400000US17031070400","Census Tract 704; Cook County; Illinois","2136","406",
"1400000US17031070500","Census Tract 705; Cook County; Illinois","2013","329",
"1400000US17031070600","Census Tract 706; Cook County; Illinois","3433","892",
"1400000US17031070700","Census Tract 707; Cook County; Illinois","2117","234",
"1400000US17031071000","Census Tract 710; Cook County; Illinois","2026","385",
"1400000US17031071100","Census Tract 711; Cook County; Illinois","2817","502",
"1400000US17031071200","Census Tract 712; Cook County; Illinois","2336","381",
"1400000US17031071300","Census Tract 713; Cook County; Illinois","2051","353",
"1400000US17031071400","Census Tract 714; Cook County; Illinois","1862","140",
"1400000US17031071500","Census Tract 715; Cook County; Illinois","2146","215",
"1400000US17031071600","Census Tract 716; Cook County; Illinois","2742","292",
"1400000US17031071700","Census Tract 717; Cook County; Illinois","2974","381",
"1400000US17031071800","Census Tract 718; Cook County; Illinois","3131","517",
"1400000US17031080100","Census Tract 801; Cook County; Illinois","2175","207",
"1400000US17031080201","Census Tract 802.01; Cook County; Illinois","2064","302",
