"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"1400000US17031030104","Census Tract 301.04; Cook County; Illinois","730","143","0","13","114","107","53","65","46","30","47","55","86","81","11","19","66","42","276","99","31","31",
"1400000US17031030200","Census Tract 302; Cook County; Illinois","1254","335","41","59","218","127","110","67","228","250","152","102","64","76","175","167","14","23","200","157","52","54",
"1400000US17031030300","Census Tract 303; Cook County; Illinois","958","193","31","27","95","72","89","71","275","158","92","84","77","56","126","109","45","34","128","61","0","13",
"1400000US17031030400","Census Tract 304; Cook County; Illinois","802","126","53","63","45","40","101","63","183","110","139","72","82","79","10","17","41","54","120","73","28","30",
"1400000US17031030500","Census Tract 305; Cook County; Illinois","1400","254","12","17","335","216","179","100","424","184","101","65","60","50","19","32","33","38","210","132","27","43",
"1400000US17031030601","Census Tract 306.01; Cook County; Illinois","1443","263","10","16","35","33","203","69","170","81","144","81","198","171","184","140","114","66","385","122","0","13",
"1400000US17031030603","Census Tract 306.03; Cook County; Illinois","1181","153","70","63","58","51","235","99","111","51","187","95","56","41","109","90","51","50","243","107","61","66",
"1400000US17031030604","Census Tract 306.04; Cook County; Illinois","1672","208","34","39","59","52","187","101","212","124","212","114","157","116","85","64","32","42","679","252","15","25",
"1400000US17031030701","Census Tract 307.01; Cook County; Illinois","730","75","18","19","40","48","90","45","101","49","42","34","64","33","53","33","73","52","215","66","34","32",
"1400000US17031030702","Census Tract 307.02; Cook County; Illinois","589","187","0","13","30","26","153","152","13","20","20","21","28","31","23","25","70","55","206","91","46","45",
"1400000US17031030703","Census Tract 307.03; Cook County; Illinois","1304","260","28","33","88","70","245","191","182","128","105","64","212","114","29","27","180","137","174","87","61","44",
"1400000US17031030706","Census Tract 307.06; Cook County; Illinois","1277","183","0","13","55","66","32","37","297","179","107","73","24","39","25","38","151","104","567","171","19","30",
"1400000US17031030800","Census Tract 308; Cook County; Illinois","1125","228","0","13","203","104","136","118","262","127","60","47","89","82","72","91","57","45","195","123","51","47",
"1400000US17031030900","Census Tract 309; Cook County; Illinois","927","230","10","15","159","92","95","65","139","63","164","121","17","19","133","139","47","37","153","67","10","15",
"1400000US17031031000","Census Tract 310; Cook County; Illinois","1303","272","0","13","96","54","324","146","193","115","178","85","196","204","63","96","44","56","209","163","0","13",
"1400000US17031031100","Census Tract 311; Cook County; Illinois","2472","391","217","166","143","145","471","212","257","117","562","259","208","122","58","92","116","74","390","185","50","62",
"1400000US17031031200","Census Tract 312; Cook County; Illinois","2784","397","11","19","55","77","283","188","220","155","409","278","332","223","261","265","143","95","867","274","203","181",
"1400000US17031031300","Census Tract 313; Cook County; Illinois","2630","461","140","85","127","161","94","80","425","259","450","254","249","165","141","115","143","118","739","280","122","98",
"1400000US17031031400","Census Tract 314; Cook County; Illinois","1713","338","104","83","130","131","150","111","270","116","143","80","289","239","41","46","312","168","247","166","27","31",
"1400000US17031031501","Census Tract 315.01; Cook County; Illinois","1711","228","45","48","125","82","211","152","90","59","239","130","157","87","149","79","276","136","326","179","93","65",
"1400000US17031031502","Census Tract 315.02; Cook County; Illinois","2351","326","79","93","87","71","201","120","297","141","344","166","208","113","214","136","195","148","594","220","132","137",
"1400000US17031031700","Census Tract 317; Cook County; Illinois","2062","256","15","25","43","45","368","152","241","122","510","254","172","125","234","147","123","82","356","225","0","18",
"1400000US17031031800","Census Tract 318; Cook County; Illinois","542","110","0","13","50","34","46","33","53","35","114","59","39","39","42","31","11","18","148","74","39","37",
"1400000US17031031900","Census Tract 319; Cook County; Illinois","914","186","0","13","90","47","137","96","151","68","129","79","179","148","97","84","42","28","89","44","0","13",
"1400000US17031032100","Census Tract 321; Cook County; Illinois","3264","403","73","81","420","236","478","280","502","253","489","242","217","122","186","163","175","119","724","238","0","18",
"1400000US17031040100","Census Tract 401; Cook County; Illinois","1031","207","9","14","41","33","114","74","96","59","125","56","172","109","9","14","100","124","307","163","58","52",
"1400000US17031040201","Census Tract 402.01; Cook County; Illinois","1668","309","0","18","195","136","224","117","326","178","140","86","53","82","168","185","198","155","327","150","37","56",
"1400000US17031040202","Census Tract 402.02; Cook County; Illinois","1719","287","18","30","98","71","103","73","147","75","205","146","140","85","108","80","132","111","623","194","145","108",
"1400000US17031040300","Census Tract 403; Cook County; Illinois","395","123","34","30","31","34","19","28","147","85","50","50","19","21","0","13","41","58","54","49","0","13",
"1400000US17031040401","Census Tract 404.01; Cook County; Illinois","712","150","36","46","42","34","274","117","97","42","41","44","18","22","20","22","39","32","136","84","9","13",
"1400000US17031040402","Census Tract 404.02; Cook County; Illinois","1890","267","47","61","321","164","354","169","279","182","238","135","65","56","41","41","180","149","325","180","40","45",
"1400000US17031040600","Census Tract 406; Cook County; Illinois","684","145","3","5","45","29","133","65","122","63","79","45","58","59","37","35","71","66","136","104","0","13",
"1400000US17031040700","Census Tract 407; Cook County; Illinois","1008","184","51","39","62","60","209","89","181","95","139","78","48","40","17","21","65","56","189","98","47","56",
"1400000US17031040800","Census Tract 408; Cook County; Illinois","480","135","26","23","56","31","131","54","111","107","36","23","35","26","7","11","31","24","47","43","0","13",
"1400000US17031040900","Census Tract 409; Cook County; Illinois","720","172","13","16","87","62","107","51","71","44","54","36","69","73","103","124","129","104","78","56","9","14",
"1400000US17031050100","Census Tract 501; Cook County; Illinois","618","126","11","16","92","66","91","57","75","51","163","82","22","24","56","90","49","36","50","49","9","14",
"1400000US17031050200","Census Tract 502; Cook County; Illinois","831","194","27","31","109","97","133","83","86","90","50","40","148","139","20","34","33","36","158","101","67","81",
"1400000US17031050300","Census Tract 503; Cook County; Illinois","495","128","18","28","48","40","149","80","49","45","79","51","24","27","11","18","28","23","37","35","52","52",
"1400000US17031050500","Census Tract 505; Cook County; Illinois","880","222","0","18","152","100","123","64","152","108","82","62","42","49","90","62","104","145","64","50","71","91",
