GEOID,poverty_rate,poverty_rate_z,renter_rate,renter_rate_z,old_building_rate,old_building_rate_z,housing_structural_index
17031010100,13.3,-0.14837808983163087,69.88,1.1536854330718818,55.18,0.9980509173495988,2.0033582605898497
17031010201,24.7,0.8273773279878874,68.88,1.1114381523631567,45.45,0.5980601277035664,2.5368756080546104
17031010202,26.03,0.9412154600668314,78.05,1.498845716462166,36.29,0.22150148092477295,2.6615626574537705
17031010300,13.43,-0.13725105436526802,67.1,1.036237992701626,49.47,0.7633183984514645,1.6623053367878224
17031010400,10.97,-0.34780880242105877,77.75,1.4861715322495488,48.18,0.7102877593308704,1.8486504891593603
17031010501,16.03,0.08528965496199069,84.01,1.7506395094861682,37.68,0.27864302230277765,2.1145721867509364
17031010502,18.29,0.27872888691568454,76.09,1.416041046273065,60.8,1.2290836242160637,2.9238535574048132
17031010503,41.75,2.2867308256916408,89.42,1.979197298120371,31.49,0.024178172569073383,4.290106296381086
17031010600,16.33,0.11096742911513566,57.54,0.6323539891262141,52.06,0.8697907669183943,1.613112185159744
17031010701,10.32,-0.40344397975287344,49.5,0.2926858522280642,57.52,1.0942460301730026,0.9834879026481933
17031010702,14.41,-0.053370325464993595,82.44,1.6843112787734693,36.1,0.21369076663569328,1.844631719944169
17031020100,18.23,0.2735933320850556,59.25,0.7045968391381341,22.49,-0.34580303059786327,0.6323871406253265
17031020200,5.0,-0.8587965080686487,16.81,-1.0883777541401598,15.08,-0.6504208878719744,-2.5975951500807826
17031020301,14.55,-0.041387364193525775,27.03,-0.656610545296989,7.02,-0.9817596098192531,-1.679757519309768
17031020302,12.88,-0.18432697364603418,37.3,-0.2227309724183823,51.15,0.8323815563759595,0.425323610311543
17031020400,13.93,-0.09445476411002598,51.33,0.3699983759250311,35.52,0.18984753354271297,0.4653911453577181
17031020500,45.32,2.592296338114069,67.88,1.0691908716544316,27.86,-0.12504757937492436,3.536439630393576
17031020601,32.58,1.501846862410502,60.9,0.7743048523075304,39.21,0.3415398268411569,2.6176915415591893
17031020602,19.63,0.39342294479973317,37.26,-0.22442086364673125,62.11,1.28293644378814,1.451938524941142
17031020701,8.31,-0.5754850665789464,33.82,-0.36975150928474554,50.78,0.817171218023541,-0.12806535784015094
17031020702,15.64,0.05190854856290185,51.03,0.3573241917124137,23.46,-0.3059272787009822,0.10330546157433335
17031020801,8.2,-0.5849002504350997,56.99,0.6091179847364154,62.79,1.3108905791385308,1.3351083134398465
17031020802,22.99,0.6810140153149596,59.92,0.7329025172129799,48.98,0.7431749773901535,2.157091509918093
17031020901,18.77,0.3198133255607169,65.33,0.9614603058471827,46.71,0.6498574961469374,1.931131127554837
17031020902,24.01,0.7683184474356536,51.59,0.3809826689092998,9.69,-0.8719985195463954,0.27730259679855795
17031030101,16.24,0.1032640968691921,73.66,1.3133801541508627,8.59,-0.9172184443779098,0.499425806642145
17031030102,24.81,0.8367925118440406,61.05,0.7806419444138392,25.79,-0.2101432561033198,1.4072912001545599
17031030103,25.43,0.8898599117605408,71.55,1.224238391855453,41.6,0.43979039079326565,2.5538886944092596
17031030104,25.39,0.8864362085401215,66.3,1.002440168134646,30.71,-0.007886865038727691,1.88098951163604
17031030200,14.95,-0.007150331989332269,47.97,0.22804751274371474,70.26,1.6179749777670884,1.838872158521471
