GEOID,rb_30plus_z,income_z_rev,economic_pressure_index
17031010100,1.6982631735557963,0.317018402260211,2.015281575816007
17031010201,2.048889951522935,0.5848601251342838,2.633750076657219
17031010202,0.7966514587831537,0.8224371100913926,1.6190885688745462
17031010300,2.342271541250541,0.34213837626950266,2.6844099175200435
17031010400,1.9057769809241027,0.8015923624279131,2.707369343352016
17031010501,2.8395891140814826,0.9283999235325106,3.7679890376139933
17031010502,1.2725020860242706,0.583193511474052,1.8556955974983227
17031010503,1.211679073519767,1.3242810523904827,2.5359601259102496
17031010600,2.127602085352293,0.35675143807298487,2.484353523425278
17031010701,0.43529120802110255,0.3008836497234736,0.7361748577445761
17031010702,1.0757217514508763,0.6170330149231074,1.6927547663739837
17031020100,0.5819820028849055,0.5402238636254655,1.1222058665103711
17031020200,-0.7167682052994963,-0.805651205385826,-1.5224194106853224
17031020301,0.03815271460934334,0.21460620053002172,0.25275891513936505
17031020302,0.3887794925764821,0.3869437145264605,0.7757232071029425
17031020400,0.45675815361092736,0.325593008772998,0.7823511623839254
17031020500,2.066779072847789,1.1944301098193748,3.261209182667164
17031020601,0.7894958102532121,0.5589913826689459,1.348487192922158
17031020602,0.048886187404255745,-0.0578005945438166,-0.008914407139560855
17031020701,-0.7704355692740583,-0.5144285836261817,-1.28486415290024
17031020702,0.8896748896723946,0.5643293771459204,1.4540042668183148
17031020801,1.064988278655964,0.2980334988262655,1.3630217774822295
17031020802,0.9719648477667231,0.4479321129624812,1.4198969607292042
17031020901,1.866420914009424,0.7482607253004937,2.6146816393099175
17031020902,0.16695438814829228,1.0077693798734073,1.1747237680216995
17031030101,2.78234392584195,0.9260811567008836,3.7084250825428335
17031030102,1.2403016676395333,0.6628769674900648,1.903178635129598
17031030103,0.4317133837561317,0.9112024028646108,1.3429157866207426
17031030104,0.4746472749357814,1.0977182098836018,1.5723654848193833
17031030200,0.5247368146453726,-0.511964893867578,0.012771920777794543
17031030300,0.24924434624262076,0.44290811816062287,0.6921524644032436
17031030400,-0.1908280383487881,-0.28112682501488495,-0.47195486336367304
17031030500,0.05604183593419736,-0.9609602754625045,-0.9049184395283072
17031030601,2.0560456000528764,0.829755717903715,2.8858013179565916
17031030603,0.5462037602351975,0.9080865599346122,1.4542903201698096
17031030604,2.3136489471307744,0.8594407641127724,3.1730897112435468
17031030701,0.35300124992677406,1.0222375187499129,1.375238768676687
17031030702,0.07393095725905137,0.6441094484465842,0.7180404057056357
17031030703,1.0327878602712268,0.30356472387254224,1.3363525841437691
17031030706,1.648173633846205,0.8478710837758004,2.4960447176220053
17031030800,0.3816238440465405,-0.44237773509760747,-0.06075389105106699
17031030900,0.15622091535337987,-0.0051935720512807015,0.15102734330209916
17031031000,0.7358284462786501,-1.0839515328233826,-0.34812308654473256
17031031100,1.666062755171059,-0.1315663643749482,1.5344963907961107
17031031200,4.639234719361796,1.4868362688159955,6.1260709881777915
17031031300,3.4549748876564608,0.44269073377015783,3.8976656214266185
17031031400,2.084668194172643,-0.13902989511424738,1.9456382990583956
17031031501,2.152646855207088,0.8458663166192897,2.998513171826378
17031031502,3.2367276074932416,0.9078450217229844,4.144572629216226
17031031700,2.07035689711276,0.17881023756678102,2.2491671346795408
17031031800,-0.23733975379340855,0.11972999100261997,-0.11760976279078858
17031031900,0.36015689845671567,-0.16514017579121307,0.1950167226655026
17031032100,3.562309615605585,0.3563891307555432,3.9186987463611285
17031040100,1.007743090416431,-0.08893487002264064,0.9188082203937904
17031040201,1.5730393242818181,-0.41578437799738616,1.157254946284432
17031040202,2.4925401603793147,0.4695014752608442,2.962041635640159
17031040300,-0.6881456111797298,0.20267421287560816,-0.48547139830412167
17031040401,-0.33394100894762024,-0.5224234984310621,-0.8563645073786823
17031040402,1.0900330485107597,-0.2881797407944169,0.8018533077163428
17031040600,-0.01551464936521872,-0.04398460883870616,-0.05949925820392488
17031040700,0.04530836313928494,-0.4370638944417958,-0.39175553130251084
17031040800,-0.666678665589905,-0.6552212071840291,-1.3218998727739342
17031040900,0.25997781903753314,0.022003630578010126,0.2819814496155433
17031050100,-0.4627426824865692,-0.7045191561772641,-1.1672618386638334
17031050200,0.1884213337381171,-1.1216556476584831,-0.933234313920366
17031050300,-0.738235150889321,-1.554540430537835,-2.292775581427156
17031050500,-0.022670297895160327,-1.3113839128921239,-1.3340542107872841
17031050600,-0.702456908239613,-1.2031747940828672,-1.9056317023224802
17031050700,-0.9350154854627153,-1.168634829820091,-2.103650315282806
17031050800,-0.8777702972231824,-2.492650690679066,-3.3704209879022486
17031050900,-0.6917234354447006,-1.0866326069724515,-1.778356042417152
17031051000,-0.9815272009073357,-2.3957697139951537,-3.377296914902489
17031051100,-0.8598811758983284,-1.8026001738795905,-2.6624813497779187
17031051200,-0.7096125567695546,-2.156960884158743,-2.8665734409282972
17031051300,-0.8348364060435327,-1.4520316135229945,-2.286868019566527
17031051400,-0.4412757368967444,-1.9304705031153504,-2.3717462400120946
17031060100,-0.5450326405808976,-1.706395504188236,-2.2514281447691333
17031060200,-0.11927155304937202,0.04475653011334934,-0.07451502293602269
17031060300,-0.6809899626497882,-2.0737268164318015,-2.7547167790815896
17031060400,-0.4019196699820655,-1.602727303757582,-2.0046469737396473
17031060500,-0.484209628076394,0.8484507754837072,0.36424114740731317
17031060800,1.5336832573671393,-0.07014319715799743,1.463540060209142
17031060900,2.33869371698557,0.19936513937630723,2.5380588563618773
17031061000,-0.036981594955043544,-0.8227279569479118,-0.8597095519029553
17031061100,-0.5199878707261021,-0.7260643646544642,-1.2460522353805663
17031061200,-0.4698983310165108,-0.859562534221152,-1.329460865237663
17031061500,-0.7561242722141751,-1.0069249971352758,-1.7630492693494508
17031061800,-0.06202636480983917,0.051471292396602315,-0.010555072413236853
17031061901,2.8646338839362784,0.3261002390174164,3.1907341229536947
17031061902,1.902199156659132,-0.2037379820093363,1.6984611746497957
17031062000,0.7107836764238544,-0.8237665712579113,-0.11298289483405688
17031062100,1.5587280272219348,-0.3910991727690245,1.1676288544529103
17031062200,-0.3661414273323575,-2.6542397542580676,-3.020381181590425
17031062400,-0.41980879130691956,-1.5721968738078274,-1.9920056651147469
17031062500,-0.8241029332486204,-2.8033654461170743,-3.6274683793656948
17031062600,-0.6523673685300218,-2.977345419952582,-3.629712788482604
17031062700,0.1061313756437886,-1.442201008309743,-1.3360696326659545
17031062800,-0.5700774104356933,-2.4846799296953486,-3.054757340131042
17031062900,-0.24449540232335015,-1.995975666108811,-2.240471068432161
17031063000,0.481802923465723,-0.35675243907555065,0.12505048439017236
17031063100,-0.051292892014926754,-0.18545353938911147,-0.23674643140403823
17031063200,4.335119656839278,0.18086331236561737,4.515982969204895
17031063301,1.955866520633694,0.4919886827633928,2.447855203397087
17031063302,1.7089966463507087,-0.2644606884125664,1.4445359579381423
17031063303,-0.2802736449730582,-0.4919896837659586,-0.7722633287390168
17031063400,0.1025535513788178,0.007028261457086224,0.10958181283590403
17031070101,1.0864552242457888,0.08830586966984255,1.1747610939156314
17031070102,-0.18725021408381728,-0.5629536103422077,-0.750203824426025
17031070103,0.6463828396543799,0.3306411573960192,0.9770239970503991
